1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Anne "favor; grace." | female. MARYANNE
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Beth "God is my oath." | female. MARYBETH
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Lou "famous warrior." | female. MARILOU
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Lou "famous warrior." | female. MARYLOU
1: English compound name composed of Mary "obstinacy, rebelliousness" or "their rebellion" and Yvonne "yew tree." | female. MARYVONNE
1: English compound name composed of Polly "obstinate, rebellious" and Anna "favor, grace." | female. POLLYANNA
1: English compound name composed of Rae "sunbeam" and Lyn "lake," hence "sunbeam lake." | female. RAELYN
1: English compound name composed of Rose "rose" and French Anne "favor-grace," hence "rose of grace." | female. ROSANNE
1: English elaborated form of French André, meaning "man, warrior." | male. DEANDRE
1: English elaborated form of Latin Lora ("sorrowful") or German Lora "laurel." | female. LORINDA
1: English form of French Adï��laï��de, meaning "noble sort." | female. ADELAIDE
1: English form of French Adï��le, meaning "noble sort." | female. ADELE
1: English form of French Agnï��s, meaning "chaste; holy." | female. AGNES
1: English form of French Aimée, meaning "much loved." | female. AMY
1: English form of French Amélie, meaning "work." | female. AMELIE
1: English form of French Aurélie, meaning "golden." | female. ORALIE
1: English form of French Bénédict, meaning "blessed." | male. BENEDICT
1: English form of French Céleste, meaning "heavenly." | female. CELESTE
1: English form of French Célestine, meaning "heavenly." | female. CELESTINE
1: English form of French Degaré, probably meaning "strayed, lost." | male. DIGGORY
1: English form of French Désirée, meaning "desired." | female. DESIRAE
1: English form of French Eléonore, meaning "foreign; the other." | female. ELEANOR
1: English form of French Éliane, meaning "sun." Compare with another form of Eliane. | female. ELIANE
1: English form of French Éloise, meaning "hale-wide; very healthy and sound." | female. ELOISE
1: English form of French Félicie, meaning "happy" or "lucky." | female. FELICITY
1: English form of French Frédéric, meaning "peaceful ruler."Irish Anglicized form of Gaelic Feardorcha, meaning "dark man." | male. FREDERICK
1: English form of French Geneviève, probably meaning "race of women." | female. GENEVIEVE
1: English form of French Gérald, meaning "spear ruler." | male. GERALD
1: English form of French Gérard, meaning "spear strong." | male. GERARD
1: English form of French Hélène, probably meaning "torch." In mythology, this is the name of the most beautiful woman ever to exist whose abduction by Paris caused the Trojan war. | female. HELEN
1: English form of French Jérôme, meaning "holy name." | male. JEROME
1: English form of French Joëlle, meaning "Jehovah is God" or "to whom Jehovah is God." | female. JOELLE
1: English form of French Joséphine, meaning "(God) shall add (another son)." | female. JOSEPHINE
1: English form of French Léonard, meaning "lion-strong." | male. LEONARD
1: English form of French Léontine, meaning "lion-like." | female. LEONTYNE
1: English form of French Léopold, meaning "people-bold." | male. LEOPOLD
1: English form of French Mélanie, meaning "black, dark." | female. MELANIE
1: English form of French Noële, meaning "day of birth." | female. NOELE
1: English form of French Noëlle, meaning "day of birth." | female. NOELLE
1: English form of French Noël, meaning "day of birth." | male. NOEL
1: English form of French Provençal Grégory, meaning "watchful; vigilant." | male. GREGORY
1: English form of French Sébastien, meaning "from Sebaste," a town in Asia Minor. | male. SEBASTIAN
1: English form of French Théodore, meaning "gift of God." | male. THEODORE
1: English form of French Valérie, meaning "to be healthy, to be strong." | female. VALERIE
1: English form of Greek Aarōn (Hebrew Aharon), meaning "light-bringer." In the bible, this is the name of the older brother of Moses. | male. AARON
1: English form of Greek Thōmas, meaning "twin." In the New Testament bible, this is the name of one of the twelve apostles. He is referred to as "Thomas, called Didymus," his surname. | male. THOMAS
1: English form of Irish Brígh, meaning "force, strength." | female. BREE
1: English form of Irish Colmán, meaning "dove." | male. COLMAN
1: English form of Irish Nóra, meaning "honor, valor." Compare with another form of Nora. | female. NORA
1: English form of Latin Cæcilia, meaning "blind." | female. CECILIA
1: English form of Latin Lætitia, meaning "happiness." | female. LETITIA
1: English form of Welsh Danbrann, the Arthurian legend name of the sister of Percival, sometimes known as the "Grail heroine." She is a major character in many of the Holy Grail stories. | female. DANDRANE
1: English habitational surname transferred to forename use, composed of the name Will and the word ford "ford," hence "Will's river crossing." | male. WILFORD
1: English habitational surname transferred to forename use, composed of the Old English elements ac "oak" and denu "valley," hence "oak valley." | male. OGDEN
1: English habitational surname transferred to forename use, composed of the Old English elements be(o)rc "birch" and leah "clearing, meadow, pasture," hence "birch tree meadow." | male. BERKELEY
1: English habitational surname transferred to forename use, composed of the Old English elements brád "broad" and ford "ford, river crossing" hence "broad river crossing." | male. BRADFORD
1: English habitational surname transferred to forename use, composed of the Old English elements brád "broad" and leah "meadow, woodland clearing," broad meadow." | male. BRADLEY
1: English habitational surname transferred to forename use, composed of the Old English elements clæg "clay" and tun "enclosure, settlement," hence "clay settlement." | male. CLAYTON
1: English habitational surname transferred to forename use, composed of the Old English elements croft "paddock, vegetable garden," and tun "enclosure, settlement," hence "garden settlement." | male. CROFTON
1: English habitational surname transferred to forename use, composed of the Old English elements lang "long" and ford "ford," hence "long river crossing." | male. LANGFORD
1: English habitational surname transferred to forename use, composed of the Old English elements wæll "spring" and tun "enclosure, settlement," hence "spring settlement." | male. WALTON
1: English habitational surname transferred to forename use, composed of the Old English elements wær "dam" and wic "dairy farm," hence "lives by the dam near the dairy farm." | male. WARWICK
1: English habitational surname transferred to forename use, composed of the Old English elements wella "spring, stream" and dun "hill," hence "spring hill." | male. WELDON
1: English habitational surname transferred to forename use, composed of the Old English elements west "west" and tun "enclosure, settlement," hence "western settlement." | male. WESTON
1: English habitational surname transferred to forename use, composed of the Old English elements wudu "wood" and raw "line, row," hence "lives in a row of houses by the wood." | male. WOODROW
1: English habitational surname transferred to forename use, composed of the Old English name Wine and the word hlaw "barrow, mound, hill," hence "Wine's hill." | male. WINSLOW
1: English habitational surname transferred to forename use, derived from the name of a place in Staffordshire, composed of Old English Ealdgyth and leah "meadow, woodland clearing," hence "Ealdgyth's meadow." | male. AUDLEY
1: English habitational surname transferred to forename use, from the name of various places called Westley, composed of the Old English elements west "west" and leah "meadow, pasture," hence "western meadow." | male. WESTLEY
1: English habitational surname transferred to forename use, from the name of various places called Winthorpe, composed of the Old English personal name Wine and Old Norse þorp "settlement, village," hence "Wine's village." | male. WINTHROP
1: English habitational surname transferred to forename use, from the name of various places composed of the Old English elements lang "long" and dun "hill," hence "long hill." | male. LANGDON
1: English habitational surname transferred to forename use, from various place names composed of the Old English elements hwit "white" and æcer "cultivated land," hence "white acres." | male. WHITAKER
1: English habitational surname transferred to forename use, probably from the name of a lost place composed of the Old English elements wella "well, spring" and burn "boiling, bubbling, running water," hence "bubbling stream" or perhaps "boiling spring." | male. WILBURN
1: English habitational surname transferred to unisex forename use, composed of the Old English elements æsc "ash" and lēah "wood," hence "ash-tree grove." | female. ASHLEY
1: English habitational surname transferred to unisex forename use, composed of the Old English elements fearn "fern" and leah "clearing, meadow," hence "fern meadow." | female. FARLEY
1: English habitational surname transferred to unisex forename use, composed of the Old English elements fearn "fern" and leah "clearing, meadow," hence "fern meadow." | male. FARLEY
1: English habitational surname transferred to unisex forename use, from the name of various places composed of the Old English elements æsc "ash tree" and tun "settlement," hence "ash tree settlement." | male. ASHTON
1: English habitational surname transferred to unisex forename use, from the name of various places composed of the Old English elements east "east" and tun "settlement," hence "east settlement." | male. ASTON
1: English habitational surname transferred to unisex forename use, from the name of various places derived from the Middle English phrase atten whiten ey ("by the white island"), hence "white island." | female. WHITNEY
1: English habitational surname transferred to unisex forename use, from the name of various places derived from the Middle English phrase atten whiten ey ("by the white island"), hence "white island." | male. WHITNEY
1: English literary name composed of the Greek elements eu "good, well" and angeles "angel, messenger," and the French diminutive suffix -ine, hence "good little angel." It is a feminine form of Latin Evangelus. | female. EVANGELINE
1: English literary name created by Fanny Burney, author of the 1778 novel Evelina, probably intended to mean "golden city." | male. ORVILLE
1: English literary name from Astrophel and Stella, a famous sonnet composed by Philip Sidney in the 1580s, composed of the Greek elements aster "star" and phil "friend, lover," hence "star lover." | male. ASTROPHEL
1: English literary name from Spencer's Faerie Queene, compounded of the Latin bella "beautiful" and Phoebe ("shining one"), hence "beautiful shining one." | female. BELPHOEBE
1: English name composed of Latin bella "beautiful" and a diminutive suffix, hence "little beauty." | female. BELITA
1: English name composed of Latin pruna "plum" and a diminutive suffix, hence "little prune." | female. PRUNELLA
1: English name composed of Lora "laurel" and the Irish diminutive suffix -een, hence "little laurel tree." | female. LOREEN
